itemBarcode,itemId,itemName,itemNumber,status,lastUpdated,customerId,adminNotes
683269185,e8544a46,Oksigen 1m3,0003,,8/13/2025 12:01:27,AKGREADY,
,e8544a46,Oksigen 1m3,0005,,8/13/2025 12:02:48,AKGREADY,
683328637,e8544a46,Oksigen 1m3,0006,,8/13/2025 12:02:26,AKGREADY,
,e8544a46,Oksigen 1m3,0009,,8/13/2025 12:03:13,5d599a87,
673544971,8bdbe149,Oksigen 6m3,1101,,9/13/2025 13:35:32,ba97d58d,
682458205,8bdbe149,Oksigen 6m3,1102,,11/22/2025 13:43:47,1c4d5e93,
,8bdbe149,Oksigen 6m3,1103,,,01158be1,
,8bdbe149,Oksigen 6m3,1104,,,45d814b4,
672403145,8bdbe149,Oksigen 6m3,1105,,9/8/2025 8:15:14,a0f0ad2d,
672403154,8bdbe149,Oksigen 6m3,1106,,9/30/2025 8:47:11,a0f0ad2d,
672403066,8bdbe149,Oksigen 6m3,1107,,9/11/2025 8:23:13,58b72e0c,
2026000440,8bdbe149,Oksigen 6m3,1108,,1/30/2026 12:59:54,734c6d17,
682359357,8bdbe149,Oksigen 6m3,1109,,11/5/2025 16:59:26,AKGREADY,
672403109,8bdbe149,Oksigen 6m3,1110,,8/30/2025 9:46:15,3b04351a,
673540726,8bdbe149,Oksigen 6m3,11100,,8/13/2025 11:58:50,a0f0ad2d,
683327203,8bdbe149,Oksigen 6m3,11101,,8/29/2025 9:20:17,8ea74d81,
683327197,8bdbe149,Oksigen 6m3,11102,,8/7/2025 14:45:44,1c48ae79,
,8bdbe149,Oksigen 6m3,11104,,10/31/2025 14:43:53,057b6b99,
673540735,8bdbe149,Oksigen 6m3,11105,,9/10/2025 9:33:16,63fc688a,
,8bdbe149,Oksigen 6m3,11106,,11/4/2025 17:02:16,a0f0ad2d,
682456571,8bdbe149,Oksigen 6m3,11107,,11/7/2025 10:44:24,AKGREADY,
683324039,8bdbe149,Oksigen 6m3,11108,,11/11/2025 10:21:58,a9fe1bea,
2026000457,8bdbe149,Oksigen 6m3,11109,,1/28/2026 15:33:29,AKGREADY,
672403075,8bdbe149,Oksigen 6m3,1111,,9/19/2025 8:36:30,AKGREADY,
112455,8bdbe149,Oksigen 6m3,11110,,1/28/2026 16:47:45,faf71ae5,
673541530,8bdbe149,Oksigen 6m3,11111,,9/9/2025 10:10:55,2d88931c,
672405754,8bdbe149,Oksigen 6m3,11112,,8/27/2025 11:56:31,8ea74d81,
683275724,8bdbe149,Oksigen 6m3,11113,,9/19/2025 8:38:08,63fc688a,
673544999,8bdbe149,Oksigen 6m3,11114,,8/4/2025 11:28:08,bdb5baf3,
673542733,8bdbe149,Oksigen 6m3,11115,,9/9/2025 10:08:41,9828dfc5,
682361413,8bdbe149,Oksigen 6m3,11116,,11/3/2025 15:34:58,4ec68cf6,
673540355,8bdbe149,Oksigen 6m3,11117,,9/9/2025 10:10:35,63fc688a,
683325250,8bdbe149,Oksigen 6m3,11118,,9/9/2025 10:10:42,a9fe1bea,
2026000454,8bdbe149,Oksigen 6m3,11119,,1/28/2026 16:47:55,9828dfc5,
672403093,8bdbe149,Oksigen 6m3,1112,,9/27/2025 14:51:43,63fc688a,
682458214,8bdbe149,Oksigen 6m3,11120,,11/22/2025 13:44:18,AKGREADY,
682361422,8bdbe149,Oksigen 6m3,11121,,11/14/2025 13:59:56,eec2e801,
683319161,8bdbe149,Oksigen 6m3,11122,,9/19/2025 16:25:23,63fc688a,
2026000419,8bdbe149,Oksigen 6m3,11123,,2/5/2026 9:17:06,02c693f1,
2026000487,8bdbe149,Oksigen 6m3,11124,,1/27/2026 9:09:06,4ec68cf6,
673539261,8bdbe149,Oksigen 6m3,11125,,8/29/2025 9:19:21,a9fe1bea,
673539225,8bdbe149,Oksigen 6m3,11126,,9/19/2025 16:26:53,AKGREADY,
673540638,8bdbe149,Oksigen 6m3,11127,,9/9/2025 10:08:10,AKGREADY,
673544324,8bdbe149,Oksigen 6m3,11128,,,AKGREADY,
682368346,8bdbe149,Oksigen 6m3,11129,,1/27/2026 9:06:13,63fc688a,
672403084,8bdbe149,Oksigen 6m3,1113,,,63fc688a,
682461892,8bdbe149,Oksigen 6m3,11130,,12/4/2025 9:28:06,e86baf3b,
683270604,8bdbe149,Oksigen 6m3,11132,,8/27/2025 11:56:55,AKGREADY,
673539331,8bdbe149,Oksigen 6m3,11133,,8/30/2025 9:42:33,eec2e801,
2026000402,8bdbe149,Oksigen 6m3,11134,,2/7/2026 14:23:36,2d88931c,
673539827,7d2764f1,Oksigen 7m3,11135,,9/11/2025 8:35:23,7b9d8eba,
683269583,7d2764f1,Oksigen 7m3,11136,,8/20/2025 11:25:09,9b941888,
673546696,7d2764f1,Oksigen 7m3,11137,,9/26/2025 14:59:16,AKGREADY,
2026000460,7d2764f1,Oksigen 7m3,11138,,1/28/2026 15:41:12,9b941888,
683330711,7d2764f1,Oksigen 7m3,11139,,2/11/2026 10:02:41,01158be1,
No barcode,8bdbe149,Oksigen 6m3,1114,,2/19/2026 10:22:47,01158be1,
683271241,7d2764f1,Oksigen 7m3,11140,,11/22/2025 13:42:50,f7243d00,
683322606,7d2764f1,Oksigen 7m3,11141,,8/20/2025 11:26:26,9e66ced9,
673545253,7d2764f1,Oksigen 7m3,11142,,11/22/2025 13:42:13,01158be1,
673541187,7d2764f1,Oksigen 7m3,11143,,11/22/2025 13:42:03,63fc688a,
683321458,7d2764f1,Oksigen 7m3,11144,,8/13/2025 11:52:54,AKGREADY,
683319189,7d2764f1,Oksigen 7m3,11145,,8/29/2025 8:33:03,63fc688a,
683319301,7d2764f1,Oksigen 7m3,11146,,9/11/2025 8:36:44,AKGREADY,
683319277,7d2764f1,Oksigen 7m3,11147,,8/29/2025 16:58:36,f7243d00,
